A	B
485.7525	-0.19516
485.753	-0.19447
485.7535	-0.19507
485.754	-0.19522
485.7545	-0.19483
485.755	-0.19433
485.7555	-0.19529
485.756	-0.19518
485.7565	-0.19507
485.757	-0.19455
485.7575	-0.19456
485.758	-0.1951
485.7585	-0.19569
485.759	-0.19469
485.7595	-0.19511
485.76	-0.19467
485.7605	-0.19426
485.761	-0.19505
485.7615	-0.19469
485.762	-0.19461
485.7625	-0.19466
485.763	-0.19448
485.7635	-0.1953
485.764	-0.19449
485.7645	-0.195
485.765	-0.19455
485.7655	-0.19493
485.766	-0.195
485.7665	-0.19494
485.767	-0.19533
485.7675	-0.19457
485.768	-0.19508
485.7685	-0.19518
485.769	-0.195
485.7695	-0.19492
485.77	-0.19535
485.7705	-0.19522
485.771	-0.19521
485.7715	-0.19529
485.772	-0.19546
485.7725	-0.19483
485.773	-0.1955
485.7735	-0.19533
485.774	-0.19547
485.7745	-0.19558
485.775	-0.19572
485.7755	-0.19556
485.776	-0.19504
485.7765	-0.19551
485.777	-0.19556
485.7775	-0.19483
485.778	-0.19527
485.7785	-0.19504
485.779	-0.19608
485.7795	-0.19618
485.78	-0.19605
485.7805	-0.19605
485.781	-0.19675
485.7815	-0.19666
485.782	-0.19648
485.7825	-0.19693
485.783	-0.19712
485.7835	-0.19672
485.784	-0.19674
485.7845	-0.19676
485.785	-0.19686
485.7855	-0.1974
485.786	-0.1974
485.7865	-0.19811
485.787	-0.19809
485.7875	-0.19669
485.788	-0.19769
485.7885	-0.19788
485.789	-0.19819
485.7895	-0.19854
485.79	-0.19759
485.7905	-0.19829
485.791	-0.19898
485.7915	-0.19832
485.792	-0.19965
485.7925	-0.19876
485.793	-0.20051
485.7935	-0.19931
485.794	-0.199
485.7945	-0.20036
485.795	-0.20084
485.7955	-0.20157
485.796	-0.20059
485.7965	-0.20205
485.797	-0.20043
485.7975	-0.20138
485.798	-0.20148
485.7985	-0.20266
485.799	-0.20367
485.7995	-0.20253
485.8	-0.20297
485.8005	-0.20394
485.801	-0.20538
485.8015	-0.20619
485.802	-0.20594
485.8025	-0.20696
485.803	-0.20808
485.8035	-0.20797
485.804	-0.20774
485.8045	-0.21013
485.805	-0.21167
485.8055	-0.21354
485.806	-0.21267
485.8065	-0.2137
485.807	-0.21373
485.8075	-0.21532
485.808	-0.21943
485.8085	-0.22102
485.809	-0.22366
485.8095	-0.22426
485.81	-0.22602
485.8105	-0.22837
485.811	-0.23245
485.8115	-0.23387
485.812	-0.23925
485.8125	-0.2395
485.813	-0.24438
485.8135	-0.24705
485.814	-0.25315
485.8145	-0.25559
485.815	-0.26129
485.8155	-0.26705
485.816	-0.2715
485.8165	-0.27982
485.817	-0.28105
485.8175	-0.28412
485.818	-0.29559
485.8185	-0.29938
485.819	-0.30913
485.8195	-0.3177
485.82	-0.32725
485.8205	-0.3354
485.821	-0.34636
485.8215	-0.35528
485.822	-0.37397
485.8225	-0.38146
485.823	-0.38629
485.8235	-0.41481
485.824	-0.41751
485.8245	-0.4377
485.825	-0.45253
485.8255	-0.47468
485.826	-0.47621
485.8265	-0.49925
485.827	-0.51663
485.8275	-0.53772
485.828	-0.55386
485.8285	-0.57973
485.829	-0.59656
485.8295	-0.61873
485.83	-0.63719
485.8305	-0.68138
