#A	#B
409.7	-0.2482
409.702	-0.25056
409.704	-0.25091
409.706	-0.25525
409.708	-0.25697
409.71	-0.26264
409.712	-0.25902
409.714	-0.26142
409.716	-0.26292
409.718	-0.26503
409.72	-0.2701
409.722	-0.26697
409.724	-0.26924
409.726	-0.27174
409.728	-0.27535
409.73	-0.27467
409.732	-0.27882
409.734	-0.27936
409.736	-0.28188
409.738	-0.28163
409.74	-0.28973
409.742	-0.29037
409.744	-0.29709
409.746	-0.30369
409.748	-0.31009
409.75	-0.30922
409.752	-0.31744
409.754	-0.32533
409.756	-0.32548
409.758	-0.32808
409.76	-0.34522
409.762	-0.35214
409.764	-0.35987
409.766	-0.36199
409.768	-0.36628
409.77	-0.37489
409.772	-0.39324
409.774	-0.39148
409.776	-0.40519
409.778	-0.4149
409.78	-0.41301
409.782	-0.42408
409.784	-0.42448
409.786	-0.43889
409.788	-0.44546
409.79	-0.44478
409.792	-0.459
409.794	-0.45951
409.796	-0.47075
409.798	-0.47483
409.8	-0.48357
409.802	-0.48646
409.804	-0.4938
409.806	-0.49789
409.808	-0.5062
409.81	-0.50346
409.812	-0.50512
409.814	-0.53136
409.816	-0.52157
409.818	-0.54382
409.82	-0.53194
409.822	-0.55178
409.824	-0.55351
409.826	-0.5679
409.828	-0.56637
409.83	-0.5723
409.832	-0.57436
409.834	-0.58677
409.836	-0.59326
409.838	-0.60026
409.84	-0.60531
409.842	-0.61059
409.844	-0.62191
409.846	-0.63267
409.848	-0.62914
409.85	-0.63339
409.852	-0.64562
409.854	-0.63116
409.856	-0.64853
409.858	-0.64641
409.86	-0.65826
409.862	-0.66394
409.864	-0.68223
409.866	-0.6758
409.868	-0.67204
409.87	-0.69015
409.872	-0.6975
409.874	-0.69737
409.876	-0.69874
409.878	-0.6785
409.88	-0.68152
409.882	-0.70295
409.884	-0.6816
409.886	-0.70363
409.888	-0.68252
409.89	-0.68179
409.892	-0.67488
409.894	-0.66021
409.896	-0.63847
409.898	-0.66145
409.9	-0.6363
409.902	-0.63514
409.904	-0.61517
409.906	-0.62358
409.908	-0.6272
409.91	-0.60321
409.912	-0.59182
409.914	-0.59122
409.916	-0.58489
409.918	-0.56598
409.92	-0.56069
409.922	-0.55966
409.924	-0.56779
409.926	-0.53529
409.928	-0.54519
409.93	-0.52572
409.932	-0.52
409.934	-0.50853
409.936	-0.49815
409.938	-0.49696
409.94	-0.48577
409.942	-0.4741
409.944	-0.47273
409.946	-0.46792
409.948	-0.45732
409.95	-0.45788
409.952	-0.44046
409.954	-0.43029
409.956	-0.41765
409.958	-0.41881
409.96	-0.41008
409.962	-0.40613
409.964	-0.38863
409.966	-0.38713
409.968	-0.37893
409.97	-0.36771
409.972	-0.363
409.974	-0.35949
409.976	-0.34585
409.978	-0.3497
409.98	-0.33573
409.982	-0.32356
409.984	-0.31959
409.986	-0.30764
409.988	-0.30434
409.99	-0.29081
409.992	-0.28508
409.994	-0.28081
409.996	-0.27256
409.998	-0.26456
410	-0.25699
