#A	#B
409.7	-0.19478
409.702	-0.19517
409.704	-0.1942
409.706	-0.19477
409.708	-0.19426
409.71	-0.19521
409.712	-0.19594
409.714	-0.19613
409.716	-0.19646
409.718	-0.19652
409.72	-0.19779
409.722	-0.19884
409.724	-0.19912
409.726	-0.20212
409.728	-0.20275
409.73	-0.20387
409.732	-0.20747
409.734	-0.21144
409.736	-0.21322
409.738	-0.22135
409.74	-0.22621
409.742	-0.23053
409.744	-0.24019
409.746	-0.24645
409.748	-0.24928
409.75	-0.261
409.752	-0.26481
409.754	-0.27054
409.756	-0.27635
409.758	-0.28704
409.76	-0.2897
409.762	-0.29245
409.764	-0.2951
409.766	-0.29834
409.768	-0.29189
409.77	-0.29201
409.772	-0.29367
409.774	-0.28511
409.776	-0.2809
409.778	-0.27196
409.78	-0.26552
409.782	-0.265
409.784	-0.25892
409.786	-0.2489
409.788	-0.24299
409.79	-0.23626
409.792	-0.23068
409.794	-0.22859
409.796	-0.22242
409.798	-0.21416
409.8	-0.21419
409.802	-0.21104
409.804	-0.20583
409.806	-0.20396
409.808	-0.20418
409.81	-0.20212
409.812	-0.20252
409.814	-0.20106
409.816	-0.20284
409.818	-0.20137
409.82	-0.20298
409.822	-0.20501
409.824	-0.20592
409.826	-0.20792
409.828	-0.20908
409.83	-0.21222
409.832	-0.21567
409.834	-0.22447
409.836	-0.22693
409.838	-0.23686
409.84	-0.2439
409.842	-0.25806
409.844	-0.27036
409.846	-0.29712
409.848	-0.31075
409.85	-0.34518
409.852	-0.37689
409.854	-0.40306
409.856	-0.43525
409.858	-0.46098
409.86	-0.49054
409.862	-0.53742
409.864	-0.57561
409.866	-0.60363
409.868	-0.62543
409.87	-0.64441
409.872	-0.6547
409.874	-0.67489
409.876	-0.67587
409.878	-0.67954
409.88	-0.68595
409.882	-0.66937
409.884	-0.6581
409.886	-0.63671
409.888	-0.62383
409.89	-0.57998
409.892	-0.56635
409.894	-0.52703
409.896	-0.49288
409.898	-0.46083
409.9	-0.43264
409.902	-0.39737
409.904	-0.37131
409.906	-0.33675
409.908	-0.32301
409.91	-0.2957
409.912	-0.27923
409.914	-0.25282
409.916	-0.249
409.918	-0.23267
409.92	-0.22813
409.922	-0.22107
409.924	-0.21713
409.926	-0.21163
409.928	-0.20788
409.93	-0.20342
409.932	-0.20326
409.934	-0.20057
409.936	-0.20043
409.938	-0.20054
409.94	-0.19905
409.942	-0.19779
409.944	-0.19763
409.946	-0.19762
409.948	-0.19717
409.95	-0.1969
409.952	-0.19669
409.954	-0.19627
409.956	-0.1964
409.958	-0.19646
409.96	-0.19624
409.962	-0.19497
409.964	-0.19518
409.966	-0.19497
409.968	-0.19454
409.97	-0.19524
409.972	-0.19479
409.974	-0.19505
409.976	-0.19446
409.978	-0.19455
409.98	-0.19484
409.982	-0.19477
409.984	-0.19454
409.986	-0.19467
409.988	-0.19374
409.99	-0.19412
409.992	-0.1946
409.994	-0.19371
409.996	-0.1941
409.998	-0.19419
410	-0.19484
