#A	#B
409.7	-0.24029
409.702	-0.24355
409.704	-0.24597
409.706	-0.25017
409.708	-0.25069
409.71	-0.2535
409.712	-0.25563
409.714	-0.25704
409.716	-0.26081
409.718	-0.26741
409.72	-0.26734
409.722	-0.26781
409.724	-0.27526
409.726	-0.27423
409.728	-0.27873
409.73	-0.2782
409.732	-0.28206
409.734	-0.28322
409.736	-0.28852
409.738	-0.2955
409.74	-0.29548
409.742	-0.29774
409.744	-0.2994
409.746	-0.29819
409.748	-0.30218
409.75	-0.30651
409.752	-0.31184
409.754	-0.31664
409.756	-0.31563
409.758	-0.32284
409.76	-0.32518
409.762	-0.31898
409.764	-0.32246
409.766	-0.32725
409.768	-0.32853
409.77	-0.33708
409.772	-0.33132
409.774	-0.33909
409.776	-0.34064
409.778	-0.34799
409.78	-0.34497
409.782	-0.35146
409.784	-0.36283
409.786	-0.36979
409.788	-0.36991
409.79	-0.38565
409.792	-0.38733
409.794	-0.40229
409.796	-0.4033
409.798	-0.42476
409.8	-0.42085
409.802	-0.44101
409.804	-0.44944
409.806	-0.4582
409.808	-0.4732
409.81	-0.47711
409.812	-0.49534
409.814	-0.50409
409.816	-0.52207
409.818	-0.52592
409.82	-0.5294
409.822	-0.55349
409.824	-0.55394
409.826	-0.56179
409.828	-0.57494
409.83	-0.58772
409.832	-0.59534
409.834	-0.60395
409.836	-0.61735
409.838	-0.62205
409.84	-0.63845
409.842	-0.64722
409.844	-0.64063
409.846	-0.66078
409.848	-0.66919
409.85	-0.689
409.852	-0.70232
409.854	-0.6935
409.856	-0.71734
409.858	-0.73454
409.86	-0.73396
409.862	-0.73216
409.864	-0.74481
409.866	-0.76975
409.868	-0.77616
409.87	-0.76524
409.872	-0.79075
409.874	-0.77161
409.876	-0.7837
409.878	-0.7835
409.88	-0.79112
409.882	-0.78515
409.884	-0.78654
409.886	-0.77555
409.888	-0.75339
409.89	-0.76562
409.892	-0.7331
409.894	-0.74549
409.896	-0.75261
409.898	-0.72049
409.9	-0.71196
409.902	-0.68003
409.904	-0.69635
409.906	-0.67584
409.908	-0.66952
409.91	-0.64423
409.912	-0.6392
409.914	-0.61796
409.916	-0.61905
409.918	-0.59032
409.92	-0.58703
409.922	-0.56961
409.924	-0.56435
409.926	-0.54988
409.928	-0.53895
409.93	-0.52077
409.932	-0.5082
409.934	-0.49311
409.936	-0.48793
409.938	-0.4563
409.94	-0.4597
409.942	-0.44075
409.944	-0.43488
409.946	-0.40855
409.948	-0.40239
409.95	-0.38089
409.952	-0.38649
409.954	-0.36523
409.956	-0.35621
409.958	-0.33799
409.96	-0.32831
409.962	-0.31337
409.964	-0.30117
409.966	-0.29586
409.968	-0.28232
409.97	-0.2693
409.972	-0.25896
409.974	-0.24816
409.976	-0.23836
409.978	-0.23287
409.98	-0.22897
409.982	-0.22224
409.984	-0.2192
409.986	-0.2124
409.988	-0.21165
409.99	-0.20966
409.992	-0.20701
409.994	-0.20521
409.996	-0.205
409.998	-0.20245
410	-0.2025
