#A	#B
409.7	-0.19321
409.702	-0.19251
409.704	-0.1927
409.706	-0.19298
409.708	-0.19275
409.71	-0.1931
409.712	-0.19295
409.714	-0.19296
409.716	-0.1934
409.718	-0.19337
409.72	-0.19326
409.722	-0.1933
409.724	-0.19348
409.726	-0.19353
409.728	-0.19393
409.73	-0.1946
409.732	-0.19426
409.734	-0.19407
409.736	-0.19456
409.738	-0.19487
409.74	-0.19579
409.742	-0.19645
409.744	-0.19799
409.746	-0.2013
409.748	-0.20362
409.75	-0.20709
409.752	-0.21307
409.754	-0.21838
409.756	-0.22838
409.758	-0.23675
409.76	-0.24667
409.762	-0.25798
409.764	-0.26104
409.766	-0.26579
409.768	-0.26937
409.77	-0.26386
409.772	-0.25863
409.774	-0.24633
409.776	-0.23973
409.778	-0.2319
409.78	-0.22818
409.782	-0.21764
409.784	-0.21201
409.786	-0.20674
409.788	-0.20653
409.79	-0.20327
409.792	-0.20075
409.794	-0.19855
409.796	-0.19731
409.798	-0.19546
409.8	-0.19608
409.802	-0.19557
409.804	-0.19438
409.806	-0.19511
409.808	-0.19453
409.81	-0.19383
409.812	-0.194
409.814	-0.19412
409.816	-0.19503
409.818	-0.19497
409.82	-0.19443
409.822	-0.19461
409.824	-0.19519
409.826	-0.19654
409.828	-0.19515
409.83	-0.1962
409.832	-0.19618
409.834	-0.19566
409.836	-0.19715
409.838	-0.19813
409.84	-0.19788
409.842	-0.19951
409.844	-0.20005
409.846	-0.20211
409.848	-0.20421
409.85	-0.20888
409.852	-0.21452
409.854	-0.22133
409.856	-0.22873
409.858	-0.2419
409.86	-0.25311
409.862	-0.2907
409.864	-0.31325
409.866	-0.36267
409.868	-0.40061
409.87	-0.45488
409.872	-0.46771
409.874	-0.51377
409.876	-0.54219
409.878	-0.55142
409.88	-0.54902
409.882	-0.52194
409.884	-0.49842
409.886	-0.45237
409.888	-0.42453
409.89	-0.37639
409.892	-0.35161
409.894	-0.30808
409.896	-0.28853
409.898	-0.26633
409.9	-0.25069
409.902	-0.23639
409.904	-0.22981
409.906	-0.22185
409.908	-0.2152
409.91	-0.20793
409.912	-0.20508
409.914	-0.20269
409.916	-0.19976
409.918	-0.19882
409.92	-0.19846
409.922	-0.19703
409.924	-0.19609
409.926	-0.1954
409.928	-0.19513
409.93	-0.19568
409.932	-0.19469
409.934	-0.19475
409.936	-0.19443
409.938	-0.19378
409.94	-0.19375
409.942	-0.19427
409.944	-0.19338
409.946	-0.19391
409.948	-0.19363
409.95	-0.19347
409.952	-0.19347
409.954	-0.19322
409.956	-0.19301
409.958	-0.19352
409.96	-0.19299
409.962	-0.19339
409.964	-0.19311
409.966	-0.19286
409.968	-0.19315
409.97	-0.19297
409.972	-0.19278
409.974	-0.19309
409.976	-0.1928
409.978	-0.19258
409.98	-0.19335
409.982	-0.19292
409.984	-0.19296
409.986	-0.1931
409.988	-0.19275
409.99	-0.19319
409.992	-0.19261
409.994	-0.1929
409.996	-0.19275
409.998	-0.19269
410	-0.1932
