#A	#B
632.552	-0.49412
632.5525	-0.48873
632.553	-0.48019
632.5535	-0.48356
632.554	-0.47581
632.5545	-0.4619
632.555	-0.45227
632.5555	-0.4415
632.556	-0.42714
632.5565	-0.41316
632.557	-0.40336
632.5575	-0.38737
632.558	-0.36924
632.5585	-0.35554
632.559	-0.34381
632.5595	-0.33645
632.56	-0.3318
632.5605	-0.31548
632.561	-0.31485
632.5615	-0.28935
632.562	-0.28972
632.5625	-0.2863
632.563	-0.28009
632.5635	-0.28193
632.564	-0.27274
632.5645	-0.27196
632.565	-0.26662
632.5655	-0.25546
632.566	-0.25671
632.5665	-0.25538
632.567	-0.25011
632.5675	-0.24662
632.568	-0.24241
632.5685	-0.23803
632.569	-0.23897
632.5695	-0.23368
632.57	-0.2319
632.5705	-0.22967
632.571	-0.22403
632.5715	-0.22436
632.572	-0.22002
632.5725	-0.21953
632.573	-0.21812
632.5735	-0.21687
632.574	-0.21568
632.5745	-0.2152
632.575	-0.21441
632.5755	-0.21244
632.576	-0.21019
632.5765	-0.21126
632.577	-0.20907
632.5775	-0.20718
632.578	-0.20556
632.5785	-0.20454
632.579	-0.20325
632.5795	-0.20254
632.58	-0.20176
632.5805	-0.20006
632.581	-0.19907
632.5815	-0.19889
632.582	-0.19773
632.5825	-0.19789
632.583	-0.19698
632.5835	-0.19658
632.584	-0.19732
632.5845	-0.196
632.585	-0.19601
632.5855	-0.19577
632.586	-0.19497
632.5865	-0.19507
632.587	-0.1946
632.5875	-0.19541
632.588	-0.19472
632.5885	-0.19455
632.589	-0.19434
632.5895	-0.19397
632.59	-0.19391
632.5905	-0.19391
632.591	-0.19363
632.5915	-0.19421
632.592	-0.19362
632.5925	-0.19321
632.593	-0.19341
632.5935	-0.19394
632.594	-0.19321
632.5945	-0.19326
632.595	-0.19324
632.5955	-0.19302
632.596	-0.19319
632.5965	-0.19327
632.597	-0.19294
632.5975	-0.19277
632.598	-0.19343
632.5985	-0.19303
632.599	-0.19297
632.5995	-0.19313
632.6	-0.1926
