#A #B
435.45 -0.19311
435.4505 -0.19336
435.451 -0.19336
435.4515 -0.19302
435.452 -0.19296
435.4525 -0.19316
435.453 -0.19297
435.4535 -0.19349
435.454 -0.1932
435.4545 -0.19339
435.455 -0.19337
435.4555 -0.19371
435.456 -0.19358
435.4565 -0.19393
435.457 -0.19297
435.4575 -0.19336
435.458 -0.19379
435.4585 -0.19366
435.459 -0.19369
435.4595 -0.19325
435.46 -0.19325
435.4605 -0.19372
435.461 -0.19344
435.4615 -0.19374
435.462 -0.19386
435.4625 -0.19372
435.463 -0.19357
435.4635 -0.19373
435.464 -0.19419
435.4645 -0.19361
435.465 -0.19379
435.4655 -0.19386
435.466 -0.19379
435.4665 -0.19427
435.467 -0.19419
435.4675 -0.19408
435.468 -0.19411
435.4685 -0.19378
435.469 -0.19381
435.4695 -0.19447
435.47 -0.19484
435.4705 -0.19511
435.471 -0.19407
435.4715 -0.19435
435.472 -0.19538
435.4725 -0.1951
435.473 -0.19465
435.4735 -0.1956
435.474 -0.19523
435.4745 -0.19535
435.475 -0.19511
435.4755 -0.19536
435.476 -0.1954
435.4765 -0.19502
435.477 -0.1959
435.4775 -0.195
435.478 -0.19512
435.4785 -0.19675
435.479 -0.19624
435.4795 -0.19633
435.48 -0.19659
435.4805 -0.19647
435.481 -0.19642
435.4815 -0.19695
435.482 -0.19686
435.4825 -0.19723
435.483 -0.19848
435.4835 -0.19902
435.484 -0.19749
435.4845 -0.1982
435.485 -0.19873
435.4855 -0.1989
435.486 -0.19876
435.4865 -0.20074
435.487 -0.19988
435.4875 -0.20045
435.488 -0.20315
435.4885 -0.20181
435.489 -0.2024
435.4895 -0.20354
435.49 -0.20394
435.4905 -0.20476
435.491 -0.20542
435.4915 -0.20529
435.492 -0.20668
435.4925 -0.20737
435.493 -0.20846
435.4935 -0.21154
435.494 -0.21051
435.4945 -0.21206
435.495 -0.21536
435.4955 -0.21815
435.496 -0.21863
435.4965 -0.22245
435.497 -0.2213
435.4975 -0.22666
435.498 -0.22738
435.4985 -0.2309
435.499 -0.23775
435.4995 -0.23522
435.5 -0.23941
435.5005 -0.24411
435.501 -0.24752
435.5015 -0.25391
435.502 -0.25705
435.5025 -0.2604
435.503 -0.26509
435.5035 -0.26784
435.504 -0.28073
435.5045 -0.28677
435.505 -0.28952
435.5055 -0.30249
435.506 -0.30696
435.5065 -0.3176
435.507 -0.33368
435.5075 -0.34032
435.508 -0.35741
435.5085 -0.3661
435.509 -0.38126
435.5095 -0.39925
435.51 -0.41839
435.5105 -0.43609
435.511 -0.45917
435.5115 -0.46406
435.512 -0.49481
435.5125 -0.51204
435.513 -0.51621
435.5135 -0.52607
435.514 -0.5428
435.5145 -0.54524
435.515 -0.56586
435.5155 -0.5627
435.516 -0.56712
435.5165 -0.55906
435.517 -0.57351
435.5175 -0.5703
435.518 -0.56824
435.5185 -0.55374
435.519 -0.55283
435.5195 -0.55121
435.52 -0.55129
435.5205 -0.53651
435.521 -0.54097
435.5215 -0.52494
435.522 -0.52333
435.5225 -0.51966
435.523 -0.51038
435.5235 -0.51319
435.524 -0.51224
435.5245 -0.51252
435.525 -0.50801
435.5255 -0.51495
435.526 -0.50951
435.5265 -0.52079
435.527 -0.52031
435.5275 -0.52064
435.528 -0.52011
435.5285 -0.53683
435.529 -0.5337
435.5295 -0.54962
435.53 -0.54666
435.5305 -0.55562
435.531 -0.56949
435.5315 -0.58246
435.532 -0.60012
435.5325 -0.59998
435.533 -0.60991
435.5335 -0.61475
435.534 -0.61451
435.5345 -0.62496
435.535 -0.631
435.5355 -0.63001
435.536 -0.62107
435.5365 -0.62415
435.537 -0.62313
435.5375 -0.60509
435.538 -0.59742
435.5385 -0.59201
435.539 -0.57751
435.5395 -0.57517
435.54 -0.56893
435.5405 -0.5494
435.541 -0.54417
435.5415 -0.5296
435.542 -0.52184
435.5425 -0.51165
435.543 -0.4939
435.5435 -0.4876
435.544 -0.47209
435.5445 -0.47379
435.545 -0.45061
435.5455 -0.44532
435.546 -0.435
435.5465 -0.42156
435.547 -0.40295
435.5475 -0.39513
435.548 -0.38561
435.5485 -0.3704
435.549 -0.35905
435.5495 -0.35037
435.55 -0.34456
435.5505 -0.33218
435.551 -0.3242
435.5515 -0.3201
435.552 -0.30726
435.5525 -0.30007
435.553 -0.29784
435.5535 -0.28754
435.554 -0.28353
435.5545 -0.27583
435.555 -0.26861
435.5555 -0.26407
435.556 -0.25679
435.5565 -0.25255
435.557 -0.25291
435.5575 -0.24366
435.558 -0.24371
435.5585 -0.2356
435.559 -0.23123
435.5595 -0.23206
435.56 -0.22631
435.5605 -0.22316
435.561 -0.22102
435.5615 -0.21773
435.562 -0.21709
435.5625 -0.21448
435.563 -0.21176
435.5635 -0.2105
435.564 -0.20936
435.5645 -0.20708
435.565 -0.20622
435.5655 -0.20489
435.566 -0.20439
435.5665 -0.20295
435.567 -0.20236
435.5675 -0.20282
435.568 -0.20181
435.5685 -0.20071
435.569 -0.2007
435.5695 -0.19985
435.57 -0.19945
435.5705 -0.1979
435.571 -0.1982
435.5715 -0.19754
435.572 -0.19766
435.5725 -0.19672
435.573 -0.19721
435.5735 -0.19691
435.574 -0.19681
435.5745 -0.19611
435.575 -0.1959
435.5755 -0.19605
435.576 -0.19563
435.5765 -0.19604
435.577 -0.19511
435.5775 -0.19547
435.578 -0.19528
435.5785 -0.19554
435.579 -0.19515
435.5795 -0.19477
435.58 -0.19462
435.5805 -0.19447
435.581 -0.19451
435.5815 -0.19446
435.582 -0.19539
435.5825 -0.19482
435.583 -0.19405
435.5835 -0.19463
435.584 -0.19455
435.5845 -0.19428
435.585 -0.19463
435.5855 -0.19427
435.586 -0.1943
435.5865 -0.19394
435.587 -0.19415
435.5875 -0.19403
435.588 -0.19389
435.5885 -0.19418
435.589 -0.19412
435.5895 -0.19384
435.59 -0.19405
435.5905 -0.19377
435.591 -0.19399
435.5915 -0.19399
435.592 -0.194
435.5925 -0.19366
435.593 -0.19382
435.5935 -0.19339
435.594 -0.19389
435.5945 -0.19349
435.595 -0.19363
435.5955 -0.19407
435.596 -0.19379
435.5965 -0.19342
435.597 -0.19334
435.5975 -0.19316
435.598 -0.19332
435.5985 -0.19321
435.599 -0.19347
435.5995 -0.19361
435.6 -0.19333
