#A #B
607.152 -1.04875
607.1525 -1.04026
607.153 -1.03445
607.1535 -0.93943
607.154 -0.90422
607.1545 -0.86369
607.155 -0.8008
607.1555 -0.76557
607.156 -0.71314
607.1565 -0.65174
607.157 -0.6027
607.1575 -0.55494
607.158 -0.52282
607.1585 -0.48271
607.159 -0.43733
607.1595 -0.42793
607.16 -0.4071
607.1605 -0.39194
607.161 -0.3867
607.1615 -0.37815
607.162 -0.38059
607.1625 -0.3791
607.163 -0.39393
607.1635 -0.40306
607.164 -0.42261
607.1645 -0.44071
607.165 -0.45557
607.1655 -0.48106
607.166 -0.50503
607.1665 -0.52309
607.167 -0.55479
607.1675 -0.56144
607.168 -0.57274
607.1685 -0.58629
607.169 -0.57583
607.1695 -0.56621
607.17 -0.54674
607.1705 -0.53992
607.171 -0.50609
607.1715 -0.4901
607.172 -0.46625
607.1725 -0.43084
607.173 -0.40687
607.1735 -0.37425
607.174 -0.3512
607.1745 -0.33005
607.175 -0.30887
607.1755 -0.28922
607.176 -0.27887
607.1765 -0.2646
607.177 -0.25768
607.1775 -0.24776
607.178 -0.24236
607.1785 -0.23731
607.179 -0.23004
607.1795 -0.22932
607.18 -0.22605
607.1805 -0.22341
607.181 -0.22144
607.1815 -0.22011
607.182 -0.21899
607.1825 -0.21639
607.183 -0.21492
607.1835 -0.21452
607.184 -0.21206
607.1845 -0.21146
607.185 -0.20945
607.1855 -0.20999
607.186 -0.20822
607.1865 -0.20844
607.187 -0.20563
607.1875 -0.2053
607.188 -0.20333
607.1885 -0.20383
607.189 -0.20293
607.1895 -0.20137
607.19 -0.20179
607.1905 -0.2
607.191 -0.19954
607.1915 -0.2003
607.192 -0.19802
607.1925 -0.19885
607.193 -0.1972
607.1935 -0.19671
607.194 -0.19757
607.1945 -0.19639
607.195 -0.19595
607.1955 -0.19591
607.196 -0.19574
607.1965 -0.19599
607.197 -0.19574
607.1975 -0.19489
607.198 -0.19571
607.1985 -0.19527
607.199 -0.19492
607.1995 -0.19465
607.2 -0.19501
607.2005 -0.19416
607.201 -0.19432
607.2015 -0.1943
607.202 -0.19457
607.2025 -0.19399
607.203 -0.19415
607.2035 -0.19438
607.204 -0.19416
607.2045 -0.19441
607.205 -0.19443
607.2055 -0.19419
607.206 -0.19391
607.2065 -0.19457
607.207 -0.19397
607.2075 -0.19355
607.208 -0.19457
607.2085 -0.19366
607.209 -0.194
607.2095 -0.19386
607.21 -0.19376
607.2105 -0.19377
607.211 -0.19318
607.2115 -0.19372
607.212 -0.19425
607.2125 -0.19332
607.213 -0.19346
607.2135 -0.19403
607.214 -0.19341
607.2145 -0.19365
607.215 -0.19354
607.2155 -0.19338
607.216 -0.1933
607.2165 -0.19351
607.217 -0.19335
607.2175 -0.19327
607.218 -0.1931
607.2185 -0.19396
607.219 -0.19337
607.2195 -0.1934
607.22 -0.19323
607.2205 -0.19296
607.221 -0.19294
607.2215 -0.19338
607.222 -0.19312
607.2225 -0.19317
607.223 -0.19265
607.2235 -0.19305
607.224 -0.19289
607.2245 -0.19338
607.225 -0.19314
607.2255 -0.19363
607.226 -0.19344
607.2265 -0.19325
607.227 -0.19271
607.2275 -0.19319
607.228 -0.19295
607.2285 -0.19259
607.229 -0.19331
607.2295 -0.19274
607.23 -0.19271
607.2305 -0.19286
607.231 -0.19281
607.2315 -0.19249
607.232 -0.19271
607.2325 -0.19255
607.233 -0.19286
607.2335 -0.19309
607.234 -0.1925
607.2345 -0.19326
607.235 -0.19292
607.2355 -0.19285
607.236 -0.19283
607.2365 -0.19244
607.237 -0.19242
607.2375 -0.19301
607.238 -0.19247
607.2385 -0.19258
607.239 -0.19288
607.2395 -0.19279
607.24 -0.19265
607.2405 -0.19259
607.241 -0.1925
607.2415 -0.19256
607.242 -0.19266
607.2425 -0.19251
607.243 -0.19294
607.2435 -0.19256
607.244 -0.19264
607.2445 -0.19254
607.245 -0.19263
607.2455 -0.19238
607.246 -0.19255
607.2465 -0.19223
607.247 -0.19247
607.2475 -0.19289
607.248 -0.19251
607.2485 -0.19256
607.249 -0.1925
607.2495 -0.19291
607.25 -0.19242
