#A #B
607 -0.19188
607.0005 -0.19202
607.001 -0.19203
607.0015 -0.19206
607.002 -0.19192
607.0025 -0.19183
607.003 -0.19253
607.0035 -0.19238
607.004 -0.19212
607.0045 -0.19228
607.005 -0.1922
607.0055 -0.19197
607.006 -0.19225
607.0065 -0.1923
607.007 -0.19196
607.0075 -0.19197
607.008 -0.19201
607.0085 -0.19197
607.009 -0.19206
607.0095 -0.19227
607.01 -0.19205
607.0105 -0.19207
607.011 -0.1921
607.0115 -0.19196
607.012 -0.19203
607.0125 -0.19177
607.013 -0.19203
607.0135 -0.19212
607.014 -0.19197
607.0145 -0.19209
607.015 -0.1919
607.0155 -0.19233
607.016 -0.1923
607.0165 -0.19211
607.017 -0.19227
607.0175 -0.19203
607.018 -0.19213
607.0185 -0.19203
607.019 -0.19224
607.0195 -0.19214
607.02 -0.19195
607.0205 -0.19246
607.021 -0.19235
607.0215 -0.19225
607.022 -0.19214
607.0225 -0.19205
607.023 -0.19217
607.0235 -0.19186
607.024 -0.19222
607.0245 -0.19208
607.025 -0.19209
607.0255 -0.1921
607.026 -0.19211
607.0265 -0.19219
607.027 -0.19231
607.0275 -0.19243
607.028 -0.19216
607.0285 -0.19205
607.029 -0.19237
607.0295 -0.19224
607.03 -0.19218
607.0305 -0.192
607.031 -0.19266
607.0315 -0.19203
607.032 -0.19232
607.0325 -0.19201
607.033 -0.19247
607.0335 -0.19219
607.034 -0.1923
607.0345 -0.19208
607.035 -0.19217
607.0355 -0.19233
607.036 -0.19222
607.0365 -0.19217
607.037 -0.19225
607.0375 -0.19217
607.038 -0.19197
607.0385 -0.19217
607.039 -0.19199
607.0395 -0.19226
607.04 -0.19228
607.0405 -0.19235
607.041 -0.19239
607.0415 -0.192
607.042 -0.19225
607.0425 -0.19214
607.043 -0.19209
607.0435 -0.19236
607.044 -0.19222
607.0445 -0.19229
607.045 -0.19213
607.0455 -0.19208
607.046 -0.19211
607.0465 -0.19233
607.047 -0.19241
607.0475 -0.19266
607.048 -0.19224
607.0485 -0.19201
607.049 -0.19239
607.0495 -0.19216
607.05 -0.19211
607.0505 -0.19213
607.051 -0.19225
607.0515 -0.19223
607.052 -0.19225
607.0525 -0.19234
607.053 -0.19244
607.0535 -0.19219
607.054 -0.19285
607.0545 -0.19219
607.055 -0.19246
607.0555 -0.19239
607.056 -0.19235
607.0565 -0.19243
607.057 -0.19242
607.0575 -0.19234
607.058 -0.1928
607.0585 -0.1925
607.059 -0.19253
607.0595 -0.19239
607.06 -0.19272
607.0605 -0.19208
607.061 -0.19231
607.0615 -0.19277
607.062 -0.19239
607.0625 -0.19246
607.063 -0.19239
607.0635 -0.19267
607.064 -0.19239
607.0645 -0.1927
607.065 -0.19256
607.0655 -0.19273
607.066 -0.19243
607.0665 -0.19283
607.067 -0.19258
607.0675 -0.19244
607.068 -0.19246
607.0685 -0.19265
607.069 -0.19239
607.0695 -0.19232
607.07 -0.19213
607.0705 -0.19264
607.071 -0.19293
607.0715 -0.1925
607.072 -0.19244
607.0725 -0.19268
607.073 -0.19265
607.0735 -0.1923
607.074 -0.19292
607.0745 -0.19235
607.075 -0.19262
607.0755 -0.19244
607.076 -0.19252
