A B
607 -0.19206
607.0005 -0.19221
607.001 -0.19224
607.0015 -0.19206
607.002 -0.19235
607.0025 -0.19199
607.003 -0.19205
607.0035 -0.19214
607.004 -0.19223
607.0045 -0.19224
607.005 -0.19217
607.0055 -0.19199
607.006 -0.19214
607.0065 -0.19206
607.007 -0.19213
607.0075 -0.19206
607.008 -0.19199
607.0085 -0.19238
607.009 -0.19184
607.0095 -0.19206
607.01 -0.19231
607.0105 -0.19185
607.011 -0.19198
607.0115 -0.19219
607.012 -0.19219
607.0125 -0.19224
607.013 -0.19227
607.0135 -0.19224
607.014 -0.19202
607.0145 -0.19199
607.015 -0.19218
607.0155 -0.19205
607.016 -0.19211
607.0165 -0.19194
607.017 -0.19203
607.0175 -0.19199
607.018 -0.19208
607.0185 -0.19234
607.019 -0.19227
607.0195 -0.19216
607.02 -0.19217
607.0205 -0.19207
607.021 -0.19195
607.0215 -0.19234
607.022 -0.19201
607.0225 -0.19227
607.023 -0.19223
607.0235 -0.19246
607.024 -0.19213
607.0245 -0.19208
607.025 -0.19216
607.0255 -0.192
607.026 -0.19187
607.0265 -0.19204
607.027 -0.19225
607.0275 -0.19217
607.028 -0.19233
607.0285 -0.19226
607.029 -0.19226
607.0295 -0.19206
607.03 -0.19198
607.0305 -0.19216
607.031 -0.1922
607.0315 -0.19208
607.032 -0.1925
607.0325 -0.19212
607.033 -0.19232
607.0335 -0.19214
607.034 -0.19223
607.0345 -0.19239
607.035 -0.1922
607.0355 -0.19193
607.036 -0.19216
607.0365 -0.19235
607.037 -0.19208
607.0375 -0.19204
607.038 -0.19199
607.0385 -0.1922
607.039 -0.19246
607.0395 -0.1922
607.04 -0.1921
607.0405 -0.19234
607.041 -0.1924
607.0415 -0.19205
607.042 -0.19233
607.0425 -0.19228
607.043 -0.19227
607.0435 -0.19229
607.044 -0.19231
607.0445 -0.19244
607.045 -0.1922
607.0455 -0.19206
607.046 -0.19227
607.0465 -0.19213
607.047 -0.19202
607.0475 -0.19241
607.048 -0.19228
607.0485 -0.19238
607.049 -0.19214
607.0495 -0.19213
607.05 -0.19225
607.0505 -0.19224
607.051 -0.19267
607.0515 -0.1919
607.052 -0.1919
607.0525 -0.19217
607.053 -0.19227
607.0535 -0.19241
607.054 -0.19239
607.0545 -0.19212
607.055 -0.19221
607.0555 -0.19212
607.056 -0.19235
607.0565 -0.19236
607.057 -0.19232
607.0575 -0.19246
607.058 -0.19231
607.0585 -0.19208
607.059 -0.19202
607.0595 -0.19203
607.06 -0.19224
607.0605 -0.19249
607.061 -0.19228
607.0615 -0.1925
607.062 -0.193
607.0625 -0.19226
607.063 -0.19249
607.0635 -0.19248
607.064 -0.19231
607.0645 -0.19255
607.065 -0.19246
607.0655 -0.1924
607.066 -0.19244
607.0665 -0.19281
607.067 -0.19244
607.0675 -0.1922
607.068 -0.1923
607.0685 -0.19276
607.069 -0.19264
607.0695 -0.19258
607.07 -0.19236
607.0705 -0.19237
607.071 -0.19253
607.0715 -0.19247
607.072 -0.1922
607.0725 -0.19261
607.073 -0.19243
607.0735 -0.19263
607.074 -0.19279
607.0745 -0.19271
607.075 -0.19255
607.0755 -0.19266
607.076 -0.19263
607.0765 -0.19251
607.077 -0.19266
607.0775 -0.1926
607.078 -0.19274
607.0785 -0.19255
607.079 -0.19276
607.0795 -0.19288
607.08 -0.19278
607.0805 -0.19239
607.081 -0.19267
607.0815 -0.19272
607.082 -0.19261
607.0825 -0.19254
607.083 -0.19285
607.0835 -0.19294
607.084 -0.19279
607.0845 -0.19305
607.085 -0.19279
607.0855 -0.19333
607.086 -0.19297
607.0865 -0.19311
607.087 -0.19288
607.0875 -0.19317
607.088 -0.19264
607.0885 -0.19309
607.089 -0.19302
607.0895 -0.19308
607.09 -0.19312
607.0905 -0.19259
607.091 -0.19308
607.0915 -0.19297
607.092 -0.19348
607.0925 -0.19333
607.093 -0.19309
607.0935 -0.19281
607.094 -0.19311
607.0945 -0.19342
607.095 -0.19306
607.0955 -0.19366
607.096 -0.19332
607.0965 -0.19401
607.097 -0.19341
607.0975 -0.19333
607.098 -0.19355
607.0985 -0.19382
607.099 -0.19397
607.0995 -0.19372
607.1 -0.19408
607.1005 -0.19363
607.101 -0.19396
607.1015 -0.19349
607.102 -0.19432
607.1025 -0.19395
607.103 -0.19443
607.1035 -0.19414
607.104 -0.19428
607.1045 -0.19475
607.105 -0.19497
607.1055 -0.19493
607.106 -0.19459
607.1065 -0.19501
607.107 -0.19568
607.1075 -0.19474
607.108 -0.19538
607.1085 -0.19559
607.109 -0.19602
607.1095 -0.19631
607.11 -0.1955
607.1105 -0.1958
607.111 -0.19657
607.1115 -0.19701
607.112 -0.19691
607.1125 -0.19674
607.113 -0.19712
607.1135 -0.19902
607.114 -0.19818
607.1145 -0.19841
607.115 -0.19876
607.1155 -0.1984
607.116 -0.19926
607.1165 -0.19991
607.117 -0.20005
607.1175 -0.20172
607.118 -0.20061
607.1185 -0.2028
607.119 -0.20284
607.1195 -0.20297
607.12 -0.20399
607.1205 -0.20471
607.121 -0.20645
607.1215 -0.2077
607.122 -0.20684
607.1225 -0.20755
607.123 -0.21232
607.1235 -0.21119
607.124 -0.21188
607.1245 -0.21374
607.125 -0.21591
607.1255 -0.21651
607.126 -0.21956
607.1265 -0.2199
607.127 -0.22444
607.1275 -0.22433
607.128 -0.22718
607.1285 -0.22674
607.129 -0.23039
607.1295 -0.23303
607.13 -0.23438
607.1305 -0.23697
607.131 -0.2431
607.1315 -0.24895
607.132 -0.25631
607.1325 -0.26232
607.133 -0.26652
607.1335 -0.27455
607.134 -0.28111
607.1345 -0.2894
607.135 -0.30234
607.1355 -0.30273
607.136 -0.3128
607.1365 -0.31932
607.137 -0.3239
607.1375 -0.32972
607.138 -0.33542
607.1385 -0.33898
607.139 -0.34012
607.1395 -0.33921
607.14 -0.34119
607.1405 -0.34108
607.141 -0.34751
607.1415 -0.35182
607.142 -0.35418
607.1425 -0.35787
607.143 -0.36907
607.1435 -0.36868
607.144 -0.37517
607.1445 -0.36926
607.145 -0.37413
607.1455 -0.38322
607.146 -0.39246
607.1465 -0.39716
607.147 -0.43809
607.1475 -0.44806
607.148 -0.47824
607.1485 -0.52846
607.149 -0.59187
607.1495 -0.64521
607.15 -0.70319
607.1505 -0.73942
607.151 -0.80504
607.1515 -0.82918
607.152 -0.8802
607.1525 -0.88186
607.153 -0.88227
607.1535 -0.87175
607.154 -0.83539
607.1545 -0.82411
607.155 -0.77125
607.1555 -0.74472
607.156 -0.69714
607.1565 -0.64564
607.157 -0.59356
607.1575 -0.53044
607.158 -0.49496
607.1585 -0.44982
607.159 -0.39684
607.1595 -0.38279
607.16 -0.34325
607.1605 -0.3251
607.161 -0.30807
607.1615 -0.29644
607.162 -0.28866
607.1625 -0.27748
607.163 -0.26891
607.1635 -0.26928
607.164 -0.26698
607.1645 -0.26584
607.165 -0.26535
607.1655 -0.26816
607.166 -0.26977
607.1665 -0.27193
607.167 -0.27637
607.1675 -0.27638
607.168 -0.27922
607.1685 -0.27595
607.169 -0.27774
607.1695 -0.27501
607.17 -0.27298
607.1705 -0.27212
607.171 -0.2652
607.1715 -0.26716
607.172 -0.25964
607.1725 -0.25433
607.173 -0.2494
607.1735 -0.24413
607.174 -0.23905
607.1745 -0.23207
607.175 -0.22813
607.1755 -0.22373
607.176 -0.22162
607.1765 -0.21605
607.177 -0.21526
607.1775 -0.2121
607.178 -0.2105
607.1785 -0.20722
607.179 -0.20705
607.1795 -0.20511
607.18 -0.20577
607.1805 -0.2047
607.181 -0.20307
607.1815 -0.20271
607.182 -0.2018
607.1825 -0.20126
607.183 -0.20095
607.1835 -0.20153
607.184 -0.20018
607.1845 -0.19898
607.185 -0.19817
607.1855 -0.19827
607.186 -0.19777
607.1865 -0.19765
607.187 -0.19721
607.1875 -0.19747
607.188 -0.19711
607.1885 -0.19557
607.189 -0.19588
607.1895 -0.19668
607.19 -0.19654
607.1905 -0.1959
607.191 -0.19547
607.1915 -0.19477
607.192 -0.1953
607.1925 -0.19499
607.193 -0.19442
607.1935 -0.19474
607.194 -0.19431
607.1945 -0.19403
607.195 -0.19355
607.1955 -0.19386
607.196 -0.1941
607.1965 -0.19351
607.197 -0.19368
607.1975 -0.19383
607.198 -0.19377
607.1985 -0.19348
607.199 -0.19336
607.1995 -0.19357
607.2 -0.19332
607.2005 -0.19324
607.201 -0.19305
607.2015 -0.19275
607.202 -0.19334
607.2025 -0.19343
607.203 -0.19375
607.2035 -0.19298
607.204 -0.19305
607.2045 -0.19323
607.205 -0.19271
607.2055 -0.19259
607.206 -0.19291
607.2065 -0.19335
607.207 -0.19303
607.2075 -0.19349
607.208 -0.19291
607.2085 -0.19307
607.209 -0.19267
607.2095 -0.19288
607.21 -0.19327
607.2105 -0.19274
607.211 -0.19286
607.2115 -0.19288
607.212 -0.19281
607.2125 -0.19282
607.213 -0.19278
607.2135 -0.19299
607.214 -0.1928
607.2145 -0.19244
607.215 -0.19224
607.2155 -0.19301
607.216 -0.1926
607.2165 -0.19277
607.217 -0.19286
607.2175 -0.19285
607.218 -0.19222
607.2185 -0.19231
607.219 -0.19284
607.2195 -0.19253
607.22 -0.1924
607.2205 -0.19271
607.221 -0.19278
607.2215 -0.19271
607.222 -0.19238
607.2225 -0.19224
607.223 -0.1926
607.2235 -0.19266
607.224 -0.19223
607.2245 -0.19256
607.225 -0.1924
607.2255 -0.19216
607.226 -0.19259
607.2265 -0.19236
607.227 -0.19234
607.2275 -0.1927
607.228 -0.19239
607.2285 -0.19265
607.229 -0.1926
607.2295 -0.19251
607.23 -0.1923
607.2305 -0.19227
607.231 -0.1923
607.2315 -0.19269
607.232 -0.19238
607.2325 -0.19214
607.233 -0.19261
607.2335 -0.19213
607.234 -0.19206
607.2345 -0.19248
607.235 -0.19227
607.2355 -0.19211
607.236 -0.19232
607.2365 -0.19235
607.237 -0.1925
607.2375 -0.19257
607.238 -0.19221
607.2385 -0.19216
607.239 -0.19236
607.2395 -0.19239
607.24 -0.19224
607.2405 -0.19242
607.241 -0.19184
607.2415 -0.1921
607.242 -0.19231
607.2425 -0.19222
607.243 -0.19217
607.2435 -0.19212
607.244 -0.1922
607.2445 -0.1923
607.245 -0.19227
607.2455 -0.19238
607.246 -0.19226
607.2465 -0.19235
607.247 -0.19219
607.2475 -0.19225
607.248 -0.19255
607.2485 -0.19223
607.249 -0.19214
607.2495 -0.19233
607.25 -0.19265
