A	B
433.652	-0.25915
433.6525	-0.25441
433.653	-0.25748
433.6535	-0.24945
433.654	-0.25002
433.6545	-0.24333
433.655	-0.23918
433.6555	-0.23888
433.656	-0.23554
433.6565	-0.2323
433.657	-0.23259
433.6575	-0.23015
433.658	-0.22746
433.6585	-0.22618
433.659	-0.22327
433.6595	-0.21978
433.66	-0.21949
433.6605	-0.21703
433.661	-0.21599
433.6615	-0.21307
433.662	-0.21309
433.6625	-0.21223
433.663	-0.21029
433.6635	-0.21005
433.664	-0.2068
433.6645	-0.20705
433.665	-0.2065
433.6655	-0.20451
433.666	-0.20524
433.6665	-0.20598
433.667	-0.20266
433.6675	-0.20389
433.668	-0.20318
433.6685	-0.20168
433.669	-0.20111
433.6695	-0.20069
433.67	-0.20053
433.6705	-0.20017
433.671	-0.19924
433.6715	-0.19994
433.672	-0.19901
433.6725	-0.19865
433.673	-0.19838
433.6735	-0.198
433.674	-0.19873
433.6745	-0.19774
433.675	-0.1967
433.6755	-0.19725
433.676	-0.19705
433.6765	-0.19701
433.677	-0.19731
433.6775	-0.19635
433.678	-0.19613
433.6785	-0.19701
433.679	-0.19662
433.6795	-0.19672
433.68	-0.19579
433.6805	-0.19615
433.681	-0.19618
433.6815	-0.19596
433.682	-0.19698
433.6825	-0.19658
433.683	-0.19711
433.6835	-0.19641
433.684	-0.19604
433.6845	-0.19691
433.685	-0.19619
433.6855	-0.19574
433.686	-0.19579
433.6865	-0.19591
433.687	-0.19639
433.6875	-0.19584
433.688	-0.19556
433.6885	-0.19572
433.689	-0.19542
433.6895	-0.19628
433.69	-0.19607
433.6905	-0.19623
433.691	-0.19668
433.6915	-0.19656
433.692	-0.19643
433.6925	-0.19574
433.693	-0.19675
433.6935	-0.19616
433.694	-0.19744
433.6945	-0.19653
433.695	-0.19637
433.6955	-0.1964
433.696	-0.19702
433.6965	-0.19689
433.697	-0.19632
433.6975	-0.19703
433.698	-0.19735
433.6985	-0.19745
433.699	-0.19849
433.6995	-0.19834
433.7	-0.19822
433.7005	-0.19849
433.701	-0.19782
433.7015	-0.19802
433.702	-0.19752
433.7025	-0.19814
433.703	-0.19783
433.7035	-0.19913
433.704	-0.19743
433.7045	-0.19822
433.705	-0.19987
433.7055	-0.19865
433.706	-0.19928
433.7065	-0.19887
433.707	-0.20013
433.7075	-0.19933
433.708	-0.20047
433.7085	-0.20027
433.709	-0.20062
433.7095	-0.20242
433.71	-0.20033
433.7105	-0.2016
433.711	-0.20128
433.7115	-0.20304
433.712	-0.20335
433.7125	-0.20303
433.713	-0.20297
433.7135	-0.20283
433.714	-0.20443
433.7145	-0.20567
433.715	-0.2039
433.7155	-0.20493
433.716	-0.20381
433.7165	-0.20578
433.717	-0.20707
433.7175	-0.20708
433.718	-0.20717
433.7185	-0.21006
433.719	-0.20846
433.7195	-0.21011
433.72	-0.21058
433.7205	-0.21224
433.721	-0.21329
433.7215	-0.2147
433.722	-0.21376
433.7225	-0.21698
433.723	-0.21807
433.7235	-0.21915
433.724	-0.22112
433.7245	-0.221
433.725	-0.22271
433.7255	-0.2299
433.726	-0.22975
433.7265	-0.23142
433.727	-0.23309
433.7275	-0.2345
433.728	-0.24043
433.7285	-0.24424
433.729	-0.24568
433.7295	-0.25055
433.73	-0.25328
433.7305	-0.26073
433.731	-0.26674
433.7315	-0.26903
433.732	-0.27244
433.7325	-0.28283
433.733	-0.28067
433.7335	-0.29584
433.734	-0.3023
433.7345	-0.31216
433.735	-0.32321
433.7355	-0.32584
433.736	-0.33901
433.7365	-0.36197
433.737	-0.36168
433.7375	-0.38209
433.738	-0.38867
433.7385	-0.40847
433.739	-0.41734
433.7395	-0.43085
433.74	-0.46028
433.7405	-0.50003
433.741	-0.49504
433.7415	-0.52026
433.742	-0.55832
433.7425	-0.57787
433.743	-0.5952
433.7435	-0.60755
433.744	-0.65137
433.7445	-0.68683
433.745	-0.71247
433.7455	-0.74429
433.746	-0.7641
433.7465	-0.80883
433.747	-0.84977
433.7475	-0.86167
433.748	-0.90332
433.7485	-0.92309
433.749	-0.96123
433.7495	-0.99044
433.75	-0.99318
433.7505	-1.03552
433.751	-1.05457
433.7515	-1.08049
433.752	-1.11206
433.7525	-1.13179
433.753	-1.14075
433.7535	-1.12812
433.754	-1.17703
433.7545	-1.17264
433.755	-1.18985
433.7555	-1.18347
433.756	-1.19115
433.7565	-1.20563
433.757	-1.16844
433.7575	-1.1395
433.758	-1.15371
433.7585	-1.16544
433.759	-1.13722
433.7595	-1.13074
433.76	-1.1327
433.7605	-1.07849
433.761	-1.05826
433.7615	-1.01097
433.762	-0.98806
433.7625	-0.97675
433.763	-0.93925
433.7635	-0.92128
433.764	-0.88786
433.7645	-0.85092
433.765	-0.83411
433.7655	-0.78622
433.766	-0.78349
433.7665	-0.75367
433.767	-0.72198
433.7675	-0.70237
433.768	-0.67576
433.7685	-0.63635
433.769	-0.61339
433.7695	-0.58715
433.77	-0.57413
433.7705	-0.54844
433.771	-0.52181
433.7715	-0.49921
433.772	-0.47902
433.7725	-0.45776
433.773	-0.45719
433.7735	-0.42932
433.774	-0.41783
433.7745	-0.40916
433.775	-0.39368
433.7755	-0.37247
433.776	-0.37198
433.7765	-0.35024
433.777	-0.35273
433.7775	-0.33478
433.778	-0.32151
433.7785	-0.31635
433.779	-0.3043
433.7795	-0.30753
433.78	-0.29405
433.7805	-0.2909
433.781	-0.28436
433.7815	-0.27174
433.782	-0.26883
433.7825	-0.26658
433.783	-0.26135
433.7835	-0.25647
433.784	-0.2553
433.7845	-0.24759
433.785	-0.24695
433.7855	-0.23936
433.786	-0.23807
433.7865	-0.23459
