A	B
409.752	-0.20175
409.7525	-0.20297
409.753	-0.2042
409.7535	-0.20494
409.754	-0.20582
409.7545	-0.20628
409.755	-0.20825
409.7555	-0.20863
409.756	-0.21017
409.7565	-0.21011
409.757	-0.2128
409.7575	-0.21388
409.758	-0.21565
409.7585	-0.21458
409.759	-0.21592
409.7595	-0.21667
409.76	-0.22068
409.7605	-0.22053
409.761	-0.22097
409.7615	-0.22225
409.762	-0.22369
409.7625	-0.22615
409.763	-0.22666
409.7635	-0.22485
409.764	-0.22807
409.7645	-0.22855
409.765	-0.2296
409.7655	-0.23016
409.766	-0.23076
409.7665	-0.22694
409.767	-0.23139
409.7675	-0.23148
409.768	-0.23012
409.7685	-0.23047
409.769	-0.23068
409.7695	-0.22958
409.77	-0.22849
409.7705	-0.22886
409.771	-0.2305
409.7715	-0.22832
409.772	-0.22588
409.7725	-0.22771
409.773	-0.22891
409.7735	-0.22291
409.774	-0.22174
409.7745	-0.22316
409.775	-0.21945
409.7755	-0.21862
409.776	-0.22018
409.7765	-0.21649
409.777	-0.21749
409.7775	-0.21524
409.778	-0.2158
409.7785	-0.21313
409.779	-0.21093
409.7795	-0.20956
409.78	-0.2118
409.7805	-0.21055
409.781	-0.20867
409.7815	-0.20874
409.782	-0.20773
409.7825	-0.20616
409.783	-0.20584
409.7835	-0.20608
409.784	-0.2043
409.7845	-0.20253
409.785	-0.20332
409.7855	-0.20086
409.786	-0.20112
409.7865	-0.2022
409.787	-0.20002
409.7875	-0.20039
409.788	-0.20035
409.7885	-0.19921
409.789	-0.19769
409.7895	-0.19856
409.79	-0.19909
409.7905	-0.19763
409.791	-0.19752
409.7915	-0.19632
409.792	-0.19677
409.7925	-0.19675
409.793	-0.19638
409.7935	-0.19581
409.794	-0.19658
409.7945	-0.19634
409.795	-0.19511
409.7955	-0.19615
409.796	-0.19472
409.7965	-0.19518
409.797	-0.19506
409.7975	-0.19481
409.798	-0.19458
409.7985	-0.19475
409.799	-0.19468
409.7995	-0.19443
409.8	-0.19425
409.8005	-0.1945
409.801	-0.1938
409.8015	-0.19439
409.802	-0.1941
409.8025	-0.19409
409.803	-0.1943
409.8035	-0.19375
409.804	-0.1938
409.8045	-0.19373
409.805	-0.19366
409.8055	-0.19376
409.806	-0.194
409.8065	-0.1938
409.807	-0.19382
409.8075	-0.19329
409.808	-0.19366
409.8085	-0.19377
409.809	-0.19323
409.8095	-0.1943
409.81	-0.19368
409.8105	-0.19364
409.811	-0.19364
409.8115	-0.19424
409.812	-0.19352
409.8125	-0.19328
409.813	-0.19354
