	0.000	-3.395	-0.146	3.237	2.434	1.088
	1.000	-3.392	-0.146	3.233	2.434	1.088
	2.000	-3.393	-0.146	3.233	2.434	1.087
	3.000	-3.365	-0.148	3.204	2.434	1.086
	4.000	-3.377	-0.146	3.217	2.434	1.086
	5.000	-3.379	-0.147	3.219	2.434	1.085
	6.000	-3.389	-0.145	3.231	2.434	1.085
	7.000	-3.381	-0.144	3.223	2.434	1.084
	8.000	-3.385	-0.146	3.226	2.434	1.084
	9.016	-3.382	-0.145	3.224	2.434	1.083
	10.016	-3.382	-0.145	3.223	2.434	1.082
	11.016	-3.381	-0.144	3.223	2.434	1.081
	12.016	-3.382	-0.144	3.223	2.434	1.080
	13.016	-3.379	-0.146	3.221	2.434	1.080
	14.016	-3.363	-0.146	3.204	2.434	1.079
	15.016	-3.344	-0.146	3.184	2.434	1.077
	16.016	-3.370	-0.146	3.212	2.434	1.077
	17.016	-3.370	-0.145	3.212	2.434	1.076
	18.016	-3.367	-0.144	3.209	2.434	1.075
	19.016	-3.359	-0.144	3.201	2.434	1.074
	20.016	-3.343	-0.144	3.186	2.434	1.073
	21.016	-3.337	-0.144	3.180	2.434	1.072
	22.016	-3.331	-0.144	3.173	2.434	1.071
	23.016	-3.280	-0.145	3.121	2.434	1.069
	24.016	-3.294	-0.144	3.136	2.434	1.068
	25.016	-3.326	-0.144	3.170	2.434	1.067
	26.016	-3.331	-0.143	3.174	2.434	1.066
	27.016	-3.331	-0.144	3.174	2.434	1.065
	28.016	-3.324	-0.143	3.167	2.434	1.063
	29.016	-3.323	-0.143	3.166	2.434	1.062
	30.016	-3.326	-0.144	3.168	2.434	1.061
	31.016	-3.321	-0.143	3.164	2.434	1.059
	32.016	-3.288	-0.143	3.131	2.434	1.058
	33.016	-3.290	-0.143	3.132	2.435	1.056
	34.016	-3.260	-0.144	3.103	2.434	1.054
	35.016	-3.223	-0.144	3.064	2.434	1.052
	36.016	-3.230	-0.145	3.071	2.435	1.051
	37.016	-3.276	-0.143	3.119	2.435	1.050
	38.016	-3.294	-0.143	3.137	2.434	1.049
	39.016	-3.282	-0.142	3.126	2.434	1.047
	40.016	-3.274	-0.144	3.116	2.434	1.045
	41.016	-3.260	-0.142	3.102	2.434	1.044
	42.016	-3.268	-0.142	3.111	2.434	1.042
	43.016	-3.266	-0.143	3.110	2.434	1.040
	44.016	-3.198	-0.171	3.012	2.434	1.031
	45.016	-3.242	-0.174	3.053	2.434	1.029
	46.016	-3.219	-0.194	3.011	2.435	1.023
	47.016	-3.180	-0.218	2.947	2.434	1.015
	48.016	-3.196	-0.229	2.952	2.434	1.011
	49.016	-3.156	-0.254	2.887	2.434	1.003
	50.016	-3.162	-0.266	2.880	2.435	0.999
	51.016	-3.143	-0.284	2.844	2.434	0.993
	52.016	-3.124	-0.303	2.806	2.434	0.987
	53.016	-3.104	-0.322	2.766	2.434	0.980
	54.016	-3.087	-0.342	2.730	2.434	0.974
	55.016	-3.011	-0.374	2.621	2.434	0.963
	56.016	-3.029	-0.381	2.632	2.434	0.960
	57.016	-3.028	-0.392	2.620	2.434	0.956
	58.016	-3.000	-0.415	2.568	2.434	0.949
	59.016	-2.917	-0.454	2.446	2.435	0.936
	60.016	-2.967	-0.455	2.495	2.435	0.936
	61.016	-2.907	-0.483	2.408	2.434	0.927
	62.016	-2.881	-0.503	2.360	2.434	0.920
	63.016	-2.858	-0.523	2.319	2.434	0.913
	64.016	-2.830	-0.540	2.272	2.434	0.907
	65.016	-2.848	-0.545	2.285	2.435	0.905
	66.016	-2.874	-0.559	2.297	2.434	0.902
	67.016	-2.871	-0.570	2.283	2.434	0.898
	68.016	-2.832	-0.593	2.220	2.434	0.890
	69.016	-2.843	-0.604	2.222	2.434	0.887
	70.016	-2.826	-0.619	2.189	2.435	0.882
	71.016	-2.810	-0.636	2.156	2.435	0.876
	72.016	-2.783	-0.654	2.110	2.435	0.870
