	0.000	-2.843	-0.397	2.428	2.417	1.082
	1.000	-2.594	-0.672	1.903	2.417	1.088
	2.000	-2.268	-1.040	1.205	2.417	1.092
	3.000	-1.984	-1.315	0.646	2.417	1.090
	4.000	-1.763	-1.530	0.207	2.417	1.086
	5.000	-1.621	-1.673	-0.079	2.418	1.085
	6.000	-1.453	-1.830	-0.406	2.417	1.089
	7.000	-1.186	-2.097	-0.942	2.417	1.093
	8.000	-0.844	-2.448	-1.637	2.417	1.092
	9.000	-0.421	-2.856	-2.471	2.417	1.088
	10.000	-0.352	-3.021	-2.705	2.417	1.121
	11.000	-0.351	-3.108	-2.794	2.417	1.138
	12.000	-0.350	-3.089	-2.776	2.417	1.130
	13.000	-0.350	-3.008	-2.694	2.418	1.098
	14.000	-0.641	-2.684	-2.078	2.417	1.084
	15.000	-1.033	-2.273	-1.272	2.417	1.091
	16.000	-1.346	-1.916	-0.600	2.418	1.092
	17.000	-1.576	-1.666	-0.118	2.417	1.088
	18.000	-1.714	-1.516	0.172	2.417	1.085
	19.000	-1.868	-1.362	0.481	2.417	1.086
	20.000	-2.108	-1.151	0.934	2.418	1.090
	21.000	-2.393	-0.867	1.505	2.417	1.094
	22.000	-2.702	-0.520	2.163	2.417	1.090
	23.000	-3.072	-0.154	2.902	2.418	1.094
	24.000	-3.166	-0.149	3.004	2.418	1.127
	25.000	-3.168	-0.143	3.008	2.418	1.136
	26.000	-3.126	-0.141	2.969	2.418	1.122
	27.000	-3.055	-0.140	2.899	2.417	1.086
	28.000	-2.685	-0.508	2.159	2.418	1.084
	29.000	-2.305	-0.905	1.379	2.418	1.091
	30.000	-2.025	-1.203	0.798	2.418	1.091
	31.000	-1.833	-1.397	0.410	2.418	1.084
	32.000	-1.660	-1.559	0.075	2.418	1.084
	33.000	-1.501	-1.714	-0.239	2.418	0.009
	34.000	-0.047	-0.064	-0.050	2.418	1.090
	35.000	-0.046	-0.064	-0.051	2.418	1.093
	36.000	-0.046	-0.064	-0.051	2.418	1.089
	37.000	-0.046	-0.064	-0.051	2.418	1.097
	38.000	-0.046	-0.064	-0.050	2.418	1.128
	39.000	-0.348	-2.985	-2.674	2.418	1.139
	40.000	-0.347	-2.993	-2.683	2.418	1.127
	41.000	-0.346	-2.935	-2.625	2.418	1.093
	42.000	-0.660	-2.585	-1.959	2.418	1.084
	43.000	-1.119	-2.141	-1.052	2.418	1.092
	44.000	-1.316	-1.942	-0.654	2.418	1.091
	45.000	-1.527	-1.679	-0.180	2.418	1.088
	46.000	-1.701	-1.482	0.193	2.418	1.085
	47.000	-1.818	-1.365	0.428	2.418	1.086
	48.000	-1.993	-1.186	0.783	2.418	1.090
	49.000	-2.250	-0.897	1.331	2.418	0.734
	50.000	-2.551	-0.590	1.941	2.418	0.009
	51.000	-2.940	-0.172	2.752	2.418	0.923
	52.000	-3.081	-0.148	2.918	2.418	1.117
	53.000	-3.154	-0.146	2.993	2.418	1.137
	54.000	-3.160	-0.143	3.002	2.418	1.135
	55.000	-3.084	-0.140	2.930	2.418	1.112
	56.000	-2.890	-0.243	2.630	2.418	1.081
	57.000	-2.523	-0.650	1.853	2.418	1.088
	58.000	-2.219	-0.966	1.231	2.418	1.092
	59.016	-1.943	-1.231	0.687	2.418	1.090
	60.016	-1.758	-1.418	0.315	2.398	1.086
	61.016	-1.625	-1.559	0.039	2.398	1.085
	62.016	-1.497	-1.701	-0.234	2.426	1.086
	63.016	-1.293	-1.932	-0.669	2.429	1.090
	64.016	-1.039	-2.222	-1.215	2.429	1.093
	65.016	-0.719	-2.536	-1.852	2.429	1.090
	66.016	-0.353	-2.921	-2.605	2.429	1.101
	67.016	-0.353	-2.991	-2.674	2.429	1.128
	68.016	-0.353	-3.004	-2.688	2.429	1.140
	69.016	-0.351	-2.960	-2.646	2.429	1.133
	70.016	-0.350	-2.889	-2.575	2.429	1.107
	71.016	-0.522	-2.674	-2.188	2.429	1.082
	72.016	-0.885	-2.330	-1.479	2.429	1.089
	73.016	-1.214	-2.008	-0.825	2.429	1.093
	74.016	-1.451	-1.771	-0.348	2.429	1.091
	75.016	-1.625	-1.596	0.003	2.429	1.087
	76.016	-1.740	-1.473	0.240	2.429	1.085
	77.016	-1.900	-1.296	0.579	2.429	1.087
	78.016	-2.097	-1.103	0.971	2.429	1.091
	79.016	-2.336	-0.850	1.465	2.429	1.093
	80.016	-2.623	-0.535	2.068	2.429	1.091
	81.016	-3.008	-0.150	2.842	2.429	1.088
	82.016	-3.095	-0.147	2.933	2.429	1.122
	83.016	-3.145	-0.143	2.987	2.429	1.140
	84.016	-3.150	-0.142	2.994	2.429	1.137
	85.016	-3.103	-0.139	2.949	2.429	1.114
	86.016	-2.965	-0.189	2.760	2.429	1.082
	87.016	-2.562	-0.621	1.923	2.429	1.089
	88.016	-2.269	-0.946	1.301	2.429	1.094
	89.016	-2.008	-1.210	0.775	2.429	1.093
	90.016	-1.816	-1.394	0.397	2.429	1.089
	91.016	-1.664	-1.537	0.100	2.429	1.087
	92.016	-1.541	-1.656	-0.142	2.429	1.087
	93.016	-1.381	-1.817	-0.464	2.429	1.091
	94.016	-1.179	-2.038	-0.889	2.429	1.094
	95.016	-0.886	-2.354	-1.502	2.429	1.093
	96.016	-0.565	-2.705	-2.175	2.429	0.010
	97.016	-0.354	-2.981	-2.663	2.429	1.104
	98.016	-0.354	-3.040	-2.725	2.429	1.132
	99.016	-0.352	-3.044	-2.729	2.430	1.142
	100.016	-0.351	-3.000	-2.684	2.430	1.133
	101.016	-0.351	-2.905	-2.591	2.430	1.102
	102.016	-0.531	-2.681	-2.186	2.430	1.084
	103.016	-0.925	-2.286	-1.392	2.430	1.092
	104.016	-1.222	-2.010	-0.817	2.430	1.095
	105.016	-1.465	-1.779	-0.341	2.430	1.094
	106.016	-1.609	-1.641	-0.060	2.430	1.090
	107.016	-1.753	-1.479	0.248	2.430	1.087
	108.016	-1.900	-1.340	0.535	2.430	1.088
	109.016	-2.062	-1.180	0.859	2.430	1.093
	110.016	-2.269	-0.961	1.286	2.430	1.096
	111.016	-2.574	-0.633	1.922	2.430	1.093
	112.016	-2.925	-0.274	2.635	2.430	1.088
	113.016	-3.105	-0.150	2.939	2.430	1.114
	114.016	-3.151	-0.147	2.989	2.430	1.136
	115.016	-3.170	-0.144	3.011	2.430	1.143
	116.016	-3.165	-0.143	3.008	2.430	1.133
	117.016	-3.112	-0.140	2.957	2.430	1.102
	118.016	-2.873	-0.325	2.532	2.430	1.083
	119.016	-2.503	-0.734	1.749	2.430	1.095
	120.016	-2.256	-1.013	1.221	2.430	1.099
	121.016	-2.004	-1.260	0.721	2.430	1.097
	122.016	-1.814	-1.444	0.346	2.430	1.093
	123.016	-1.667	-1.580	0.060	2.430	1.091
	124.016	-1.562	-1.680	-0.145	2.430	1.092
	125.016	-1.413	-1.833	-0.449	2.430	1.094
	126.016	-1.211	-2.042	-0.862	2.430	1.098
	127.016	-0.946	-2.323	-1.409	2.430	1.098
	128.016	-0.653	-2.617	-1.998	2.430	1.095
	129.016	-0.356	-2.941	-2.623	2.430	1.100
	130.016	-0.355	-3.044	-2.726	2.430	1.130
	131.016	-0.354	-3.132	-2.815	2.430	1.146
	132.016	-0.353	-3.133	-2.817	2.430	1.144
	133.016	-0.353	-3.050	-2.733	2.430	1.127
	134.016	-0.353	-2.927	-2.611	2.430	1.091
	135.016	-0.697	-2.587	-1.924	2.430	1.093
	136.016	-1.034	-2.249	-1.245	2.430	1.099
	137.016	-1.282	-1.989	-0.737	2.430	1.101
	138.016	-1.515	-1.745	-0.258	2.430	1.098
	139.016	-1.659	-1.605	0.028	2.430	1.095
	140.016	-1.778	-1.491	0.261	2.430	1.093
	141.016	-1.895	-1.374	0.496	2.430	1.094
	142.016	-2.080	-1.198	0.860	2.430	1.096
	143.016	-2.293	-1.002	1.269	2.430	1.100
	144.016	-2.535	-0.743	1.772	2.430	1.100
	145.016	-2.823	-0.423	2.382	2.430	1.095
	146.016	-3.108	-0.156	2.938	2.430	1.103
	147.016	-3.196	-0.152	3.030	2.430	1.132
	148.016	-3.226	-0.147	3.064	2.430	1.146
	149.016	-3.206	-0.145	3.047	2.430	1.144
	150.016	-3.168	-0.143	3.011	2.430	1.127
	151.016	-3.116	-0.141	2.960	2.430	1.097
