#A	#B
655.852	-0.44587
655.8525	-0.45274
655.853	-0.44908
655.8535	-0.45702
655.854	-0.45942
655.8545	-0.45771
655.855	-0.46059
655.8555	-0.46362
655.856	-0.45884
655.8565	-0.46864
655.857	-0.47116
655.8575	-0.47685
655.858	-0.47806
655.8585	-0.47828
655.859	-0.48361
655.8595	-0.49052
655.86	-0.48791
655.8605	-0.48618
655.861	-0.48074
655.8615	-0.48687
655.862	-0.49396
655.8625	-0.4894
655.863	-0.49828
655.8635	-0.49351
655.864	-0.48233
655.8645	-0.48673
655.865	-0.48147
655.8655	-0.47057
655.866	-0.48608
655.8665	-0.47892
655.867	-0.46856
655.8675	-0.45915
655.868	-0.46033
655.8685	-0.44184
655.869	-0.42942
655.8695	-0.42685
655.87	-0.41332
655.8705	-0.40807
655.871	-0.40381
655.8715	-0.39846
655.872	-0.39361
655.8725	-0.37602
655.873	-0.37145
655.8735	-0.36469
655.874	-0.35512
655.8745	-0.34383
655.875	-0.33615
655.8755	-0.32712
655.876	-0.32107
655.8765	-0.31397
655.877	-0.30776
655.8775	-0.29844
655.878	-0.29691
655.8785	-0.28532
655.879	-0.28932
655.8795	-0.28688
655.88	-0.27981
655.8805	-0.27182
655.881	-0.27274
655.8815	-0.26315
655.882	-0.25909
655.8825	-0.26034
655.883	-0.25208
655.8835	-0.25387
655.884	-0.2479
655.8845	-0.24571
655.885	-0.24205
655.8855	-0.24034
655.886	-0.23761
655.8865	-0.23494
655.887	-0.23223
655.8875	-0.23137
655.888	-0.22862
655.8885	-0.22758
655.889	-0.22475
655.8895	-0.22256
655.89	-0.2207
655.8905	-0.21983
655.891	-0.21615
655.8915	-0.21539
655.892	-0.21646
655.8925	-0.21266
655.893	-0.21486
655.8935	-0.21292
655.894	-0.20926
655.8945	-0.21101
655.895	-0.20813
655.8955	-0.20764
655.896	-0.20594
655.8965	-0.20543
655.897	-0.20569
655.8975	-0.20488
655.898	-0.20341
655.8985	-0.2043
655.899	-0.20248
655.8995	-0.20375
655.9	-0.20242
655.9005	-0.20067
655.901	-0.20054
655.9015	-0.20036
655.902	-0.19976
655.9025	-0.19958
655.903	-0.19874
655.9035	-0.19889
655.904	-0.19913
655.9045	-0.19791
655.905	-0.19793
655.9055	-0.19829
655.906	-0.19866
655.9065	-0.19852
655.907	-0.19769
655.9075	-0.19765
655.908	-0.1973
655.9085	-0.1976
655.909	-0.19724
655.9095	-0.19666
655.91	-0.19812
655.9105	-0.19698
655.911	-0.19688
655.9115	-0.19725
655.912	-0.19706
655.9125	-0.19632
655.913	-0.19621
655.9135	-0.19649
655.914	-0.196
655.9145	-0.19607
655.915	-0.19667
655.9155	-0.19699
655.916	-0.19683
655.9165	-0.19647
655.917	-0.1969
655.9175	-0.19627
655.918	-0.19633
655.9185	-0.19712
655.919	-0.19593
655.9195	-0.19604
655.92	-0.19621
655.9205	-0.19635
655.921	-0.19616
655.9215	-0.19594
655.922	-0.19601
655.9225	-0.1963
655.923	-0.19685
655.9235	-0.19582
655.924	-0.19652
655.9245	-0.19653
655.925	-0.19628
655.9255	-0.19615
655.926	-0.19652
655.9265	-0.19599
655.927	-0.19644
655.9275	-0.19574
655.928	-0.19618
655.9285	-0.19613
655.929	-0.19588
655.9295	-0.19721
655.93	-0.19641
655.9305	-0.19651
655.931	-0.19666
655.9315	-0.19674
655.932	-0.19724
655.9325	-0.19668
655.933	-0.19652
655.9335	-0.19696
655.934	-0.19593
655.9345	-0.19688
655.935	-0.19651
655.9355	-0.19619
655.936	-0.19718
655.9365	-0.19643
655.937	-0.19756
655.9375	-0.19641
655.938	-0.19636
655.9385	-0.1964
655.939	-0.19752
655.9395	-0.19626
655.94	-0.19665
655.9405	-0.19705
655.941	-0.19688
655.9415	-0.19688
655.942	-0.19738
655.9425	-0.19691
655.943	-0.19677
655.9435	-0.19666
655.944	-0.19658
655.9445	-0.19681
655.945	-0.19712
655.9455	-0.19691
655.946	-0.19763
655.9465	-0.19599
655.947	-0.19696
655.9475	-0.19816
655.948	-0.19692
655.9485	-0.1974
655.949	-0.19754
655.9495	-0.19799
655.95	-0.19749
655.9505	-0.19759
655.951	-0.19948
655.9515	-0.19827
655.952	-0.19793
655.9525	-0.19788
655.953	-0.19804
655.9535	-0.19787
655.954	-0.19895
655.9545	-0.19821
655.955	-0.19852
655.9555	-0.19909
655.956	-0.19845
655.9565	-0.19891
655.957	-0.1996
655.9575	-0.19792
655.958	-0.19893
655.9585	-0.1982
655.959	-0.19891
655.9595	-0.19858
655.96	-0.19912
655.9605	-0.19857
655.961	-0.1994
655.9615	-0.19873
655.962	-0.19939
655.9625	-0.19907
655.963	-0.20021
655.9635	-0.19998
655.964	-0.19943
655.9645	-0.20019
655.965	-0.20014
655.9655	-0.20077
655.966	-0.19974
655.9665	-0.20003
655.967	-0.20114
655.9675	-0.20067
655.968	-0.2002
655.9685	-0.20153
655.969	-0.20217
655.9695	-0.20137
655.97	-0.20173
655.9705	-0.20056
655.971	-0.2023
655.9715	-0.20334
655.972	-0.20323
655.9725	-0.20232
655.973	-0.20175
655.9735	-0.20212
655.974	-0.20348
655.9745	-0.20517
655.975	-0.20476
655.9755	-0.20459
655.976	-0.20358
655.9765	-0.20586
655.977	-0.20453
655.9775	-0.2061
655.978	-0.2047
655.9785	-0.20592
655.979	-0.2068
655.9795	-0.2071
655.98	-0.20602
655.9805	-0.20871
655.981	-0.20706
655.9815	-0.20724
655.982	-0.20778
655.9825	-0.21055
655.983	-0.20955
655.9835	-0.20975
655.984	-0.20795
655.9845	-0.21187
655.985	-0.21165
655.9855	-0.21304
655.986	-0.21395
655.9865	-0.21482
655.987	-0.21466
655.9875	-0.21657
655.988	-0.2151
655.9885	-0.21817
655.989	-0.21723
655.9895	-0.21703
655.99	-0.21931
655.9905	-0.22152
655.991	-0.22157
655.9915	-0.22289
655.992	-0.22496
655.9925	-0.22863
655.993	-0.22608
655.9935	-0.23081
655.994	-0.22932
655.9945	-0.23541
655.995	-0.23775
655.9955	-0.23492
655.996	-0.23855
655.9965	-0.24313
655.997	-0.24614
655.9975	-0.24583
655.998	-0.24507
655.9985	-0.25303
655.999	-0.25311
655.9995	-0.25677
656	-0.26074
656.0005	-0.26486
656.001	-0.26562
656.0015	-0.27444
656.002	-0.28098
656.0025	-0.28004
656.003	-0.2871
656.0035	-0.29639
656.004	-0.29423
656.0045	-0.30306
656.005	-0.30604
656.0055	-0.3175
656.006	-0.32432
656.0065	-0.33033
656.007	-0.33699
656.0075	-0.34771
656.008	-0.36038
656.0085	-0.36322
656.009	-0.37819
656.0095	-0.38693
656.01	-0.40257
656.0105	-0.40421
656.011	-0.43134
656.0115	-0.43968
656.012	-0.45139
656.0125	-0.47658
656.013	-0.47481
656.0135	-0.50152
656.014	-0.51245
656.0145	-0.52389
656.015	-0.54966
656.0155	-0.56946
656.016	-0.59266
656.0165	-0.63616
656.017	-0.64049
656.0175	-0.67256
656.018	-0.65636
656.0185	-0.7139
656.019	-0.7336
656.0195	-0.76245
656.02	-0.79617
656.0205	-0.82518
656.021	-0.84833
656.0215	-0.95666
656.022	-0.91589
656.0225	-0.96175
656.023	-0.99583
656.0235	-0.98201
656.024	-1.06663
656.0245	-1.13742
656.025	-1.13104
656.0255	-1.15188
656.026	-1.16817
656.0265	-1.23401
656.027	-1.26099
656.0275	-1.28157
656.028	-1.30965
656.0285	-1.34781
656.029	-1.39251
656.0295	-1.39035
656.03	-1.45289
656.0305	-1.44635
656.031	-1.4668
656.0315	-1.48693
656.032	-1.50142
656.0325	-1.52839
656.033	-1.56416
656.0335	-1.55413
656.034	-1.59381
656.0345	-1.54997
656.035	-1.65948
656.0355	-1.59011
656.036	-1.63853
656.0365	-1.62273
656.037	-1.64419
656.0375	-1.62387
656.038	-1.67455
656.0385	-1.63267
656.039	-1.68652
656.0395	-1.67255
656.04	-1.67568
656.0405	-1.678
656.041	-1.66113
656.0415	-1.66083
656.042	-1.62835
656.0425	-1.63209
656.043	-1.62376
656.0435	-1.59616
656.044	-1.5563
656.0445	-1.54318
656.045	-1.57581
656.0455	-1.47265
656.046	-1.48561
656.0465	-1.44816
656.047	-1.44042
656.0475	-1.42113
656.048	-1.36309
656.0485	-1.33524
656.049	-1.29375
656.0495	-1.239
656.05	-1.24304
656.0505	-1.17484
656.051	-1.13719
656.0515	-1.12759
656.052	-1.08669
656.0525	-1.01819
656.053	-0.99761
656.0535	-0.99038
656.054	-0.91988
656.0545	-0.9026
656.055	-0.8404
656.0555	-0.82612
656.056	-0.79019
656.0565	-0.76823
656.057	-0.74446
656.0575	-0.7032
656.058	-0.68053
656.0585	-0.67063
656.059	-0.63277
656.0595	-0.62454
656.06	-0.59959
656.0605	-0.55572
656.061	-0.55186
656.0615	-0.50483
656.062	-0.50699
656.0625	-0.4801
656.063	-0.46966
656.0635	-0.47004
656.064	-0.44888
656.0645	-0.41744
656.065	-0.4256
656.0655	-0.40735
656.066	-0.39226
656.0665	-0.38146
656.067	-0.36171
656.0675	-0.36505
656.068	-0.35091
656.0685	-0.33706
656.069	-0.3356
656.0695	-0.32043
656.07	-0.31552
656.0705	-0.30722
656.071	-0.29504
656.0715	-0.29171
656.072	-0.28928
656.0725	-0.28103
656.073	-0.2769
656.0735	-0.27112
656.074	-0.26995
656.0745	-0.26313
656.075	-0.25683
656.0755	-0.25857
656.076	-0.25173
656.0765	-0.2448
656.077	-0.24492
656.0775	-0.23943
656.078	-0.2354
656.0785	-0.23433
656.079	-0.23186
656.0795	-0.23023
656.08	-0.22873
656.0805	-0.22535
656.081	-0.22432
656.0815	-0.22151
656.082	-0.21801
656.0825	-0.2169
656.083	-0.21665
656.0835	-0.21538
656.084	-0.21365
656.0845	-0.21209
656.085	-0.21141
656.0855	-0.21196
656.086	-0.21112
656.0865	-0.20939
656.087	-0.20755
656.0875	-0.2081
656.088	-0.20639
656.0885	-0.20714
656.089	-0.20686
656.0895	-0.20533
656.09	-0.20476
656.0905	-0.20478
656.091	-0.20398
656.0915	-0.20297
656.092	-0.20353
656.0925	-0.20305
656.093	-0.20391
656.0935	-0.20435
656.094	-0.20199
656.0945	-0.20273
656.095	-0.20266
656.0955	-0.20113
656.096	-0.202
656.0965	-0.20102
656.097	-0.20162
656.0975	-0.20079
656.098	-0.20071
656.0985	-0.20121
656.099	-0.20067
656.0995	-0.19965
656.1	-0.19985
656.1005	-0.20057
656.101	-0.20059
656.1015	-0.19914
656.102	-0.2012
656.1025	-0.19956
656.103	-0.19917
656.1035	-0.1991
656.104	-0.19809
656.1045	-0.19865
656.105	-0.19931
656.1055	-0.1982
656.106	-0.19924
656.1065	-0.19842
656.107	-0.19894
656.1075	-0.19842
656.108	-0.19834
656.1085	-0.19769
656.109	-0.19923
656.1095	-0.19773
656.11	-0.19738
656.1105	-0.19825
656.111	-0.19789
656.1115	-0.1984
656.112	-0.19702
656.1125	-0.19851
656.113	-0.19779
656.1135	-0.1982
656.114	-0.19704
656.1145	-0.19728
656.115	-0.19751
656.1155	-0.19804
656.116	-0.1966
656.1165	-0.19812
656.117	-0.19675
656.1175	-0.19658
656.118	-0.19741
656.1185	-0.19701
656.119	-0.19633
656.1195	-0.19755
656.12	-0.19655
656.1205	-0.19644
656.121	-0.19608
656.1215	-0.19729
656.122	-0.19674
656.1225	-0.19604
656.123	-0.19642
656.1235	-0.19708
656.124	-0.19644
656.1245	-0.19702
656.125	-0.1968
656.1255	-0.19664
656.126	-0.19568
656.1265	-0.19516
656.127	-0.19651
656.1275	-0.19557
656.128	-0.19576
656.1285	-0.19602
656.129	-0.19561
656.1295	-0.19614
656.13	-0.19591
656.1305	-0.19625
656.131	-0.1953
656.1315	-0.19587
656.132	-0.19486
656.1325	-0.19604
656.133	-0.19584
656.1335	-0.19627
656.134	-0.19552
656.1345	-0.19622
656.135	-0.19527
656.1355	-0.19473
656.136	-0.19547
656.1365	-0.1951
656.137	-0.19593
656.1375	-0.19529
656.138	-0.1956
656.1385	-0.19611
656.139	-0.19522
656.1395	-0.19526
656.14	-0.19499
656.1405	-0.19522
656.141	-0.19489
656.1415	-0.19552
656.142	-0.1952
656.1425	-0.19502
656.143	-0.19482
656.1435	-0.19527
656.144	-0.19469
656.1445	-0.19461
656.145	-0.19494
656.1455	-0.19538
656.146	-0.19499
656.1465	-0.19489
656.147	-0.19499
656.1475	-0.19505
656.148	-0.19537
656.1485	-0.19519
656.149	-0.19516
656.1495	-0.19478
656.15	-0.19488
656.1505	-0.19521
656.151	-0.19502
656.1515	-0.19531
656.152	-0.19426
656.1525	-0.19471
656.153	-0.1951
656.1535	-0.19428
656.154	-0.19483
656.1545	-0.195
656.155	-0.19443
656.1555	-0.19431
656.156	-0.19454
656.1565	-0.19469
656.157	-0.19428
656.1575	-0.19412
656.158	-0.19452
656.1585	-0.19416
656.159	-0.1941
656.1595	-0.19462
656.16	-0.19402
656.1605	-0.19441
656.161	-0.19402
656.1615	-0.19466
656.162	-0.19471
656.1625	-0.19432
656.163	-0.19419
656.1635	-0.19383
656.164	-0.19422
656.1645	-0.19407
656.165	-0.19439
656.1655	-0.19395
656.166	-0.19458
656.1665	-0.19428
656.167	-0.1941
656.1675	-0.1942
656.168	-0.19394
656.1685	-0.19419
656.169	-0.19369
656.1695	-0.19432
656.17	-0.19393
656.1705	-0.19397
656.171	-0.19399
656.1715	-0.19397
656.172	-0.19427
656.1725	-0.1942
656.173	-0.19389
656.1735	-0.19363
656.174	-0.19399
656.1745	-0.19364
656.175	-0.19419
656.1755	-0.19363
656.176	-0.19455
656.1765	-0.19369
656.177	-0.19439
656.1775	-0.19375
656.178	-0.19346
656.1785	-0.19374
656.179	-0.19357
656.1795	-0.19403
656.18	-0.19376
656.1805	-0.19427
656.181	-0.19373
656.1815	-0.19397
656.182	-0.19394
656.1825	-0.19405
656.183	-0.19392
656.1835	-0.19358
656.184	-0.19395
656.1845	-0.19387
656.185	-0.19385
656.1855	-0.19347
656.186	-0.19357
656.1865	-0.19366
656.187	-0.19405
656.1875	-0.19377
656.188	-0.19396
656.1885	-0.19381
656.189	-0.19372
656.1895	-0.19369
656.19	-0.19374
656.1905	-0.19344
656.191	-0.19381
656.1915	-0.19354
656.192	-0.19335
656.1925	-0.19339
656.193	-0.19353
656.1935	-0.19368
656.194	-0.1937
656.1945	-0.19397
656.195	-0.19357
656.1955	-0.19354
656.196	-0.19385
656.1965	-0.19373
656.197	-0.1935
656.1975	-0.19358
656.198	-0.19353
656.1985	-0.19367
656.199	-0.19374
656.1995	-0.1936
656.2	-0.19363
656.2005	-0.1941
656.201	-0.19347
656.2015	-0.19386
656.202	-0.19382
656.2025	-0.19407
656.203	-0.19378
656.2035	-0.19366
656.204	-0.19362
656.2045	-0.19358
656.205	-0.19334
656.2055	-0.19408
656.206	-0.19319
656.2065	-0.19329
656.207	-0.19345
656.2075	-0.19339
656.208	-0.19367
656.2085	-0.19325
656.209	-0.19327
656.2095	-0.19295
656.21	-0.19331
656.2105	-0.1935
656.211	-0.1936
656.2115	-0.19337
656.212	-0.19375
656.2125	-0.19324
656.213	-0.19328
656.2135	-0.19355
656.214	-0.19338
656.2145	-0.19333
656.215	-0.19317
656.2155	-0.19353
656.216	-0.19357
656.2165	-0.19378
656.217	-0.19327
656.2175	-0.19341
656.218	-0.1933
656.2185	-0.1935
656.219	-0.19416
656.2195	-0.19319
656.22	-0.19375
656.2205	-0.19327
656.221	-0.19377
656.2215	-0.19307
656.222	-0.19316
656.2225	-0.19389
656.223	-0.19333
656.2235	-0.19362
656.224	-0.19366
656.2245	-0.19363
656.225	-0.1931
656.2255	-0.19339
656.226	-0.19361
656.2265	-0.19341
656.227	-0.19294
656.2275	-0.19336
656.228	-0.19347
656.2285	-0.19307
656.229	-0.19326
656.2295	-0.19364
656.23	-0.19339
656.2305	-0.19353
656.231	-0.19317
656.2315	-0.19336
656.232	-0.19326
656.2325	-0.19309
656.233	-0.1939
656.2335	-0.19334
656.234	-0.19353
656.2345	-0.19309
656.235	-0.19339
656.2355	-0.19336
656.236	-0.19325
656.2365	-0.19328
656.237	-0.19351
656.2375	-0.1932
656.238	-0.19306
656.2385	-0.19386
656.239	-0.19339
656.2395	-0.19303
656.24	-0.19335
656.2405	-0.19328
656.241	-0.19321
656.2415	-0.19324
656.242	-0.19299
656.2425	-0.19357
656.243	-0.19292
656.2435	-0.19354
656.244	-0.1932
656.2445	-0.19316
656.245	-0.19386
656.2455	-0.19372
656.246	-0.19339
656.2465	-0.19296
656.247	-0.19312
656.2475	-0.19308
656.248	-0.1933
656.2485	-0.19334
656.249	-0.19324
656.2495	-0.19288
656.25	-0.19343
656.2505	-0.19339
656.251	-0.19333
656.2515	-0.19325
656.252	-0.19319
656.2525	-0.19338
656.253	-0.19305
656.2535	-0.19308
656.254	-0.19373
656.2545	-0.19333
656.255	-0.19318
656.2555	-0.193
656.256	-0.19317
656.2565	-0.19321
656.257	-0.19291
656.2575	-0.19316
656.258	-0.19325
656.2585	-0.19309
656.259	-0.19326
656.2595	-0.19307
656.26	-0.19317
656.2605	-0.19307
656.261	-0.19316
656.2615	-0.19304
656.262	-0.19308
656.2625	-0.1931
656.263	-0.19311
656.2635	-0.19297
656.264	-0.193
656.2645	-0.19284
656.265	-0.19333
656.2655	-0.1931
656.266	-0.1932
656.2665	-0.19303
656.267	-0.19291
656.2675	-0.19292
656.268	-0.19298
656.2685	-0.19345
656.269	-0.193
656.2695	-0.19277
656.27	-0.19315
656.2705	-0.19308
656.271	-0.19295
656.2715	-0.19318
656.272	-0.19325
656.2725	-0.19332
656.273	-0.193
656.2735	-0.1933
656.274	-0.19289
656.2745	-0.1927
656.275	-0.1931
656.2755	-0.19309
656.276	-0.19317
656.2765	-0.19322
656.277	-0.19314
656.2775	-0.19335
656.278	-0.19313
656.2785	-0.19301
656.279	-0.19285
656.2795	-0.19328
656.28	-0.19302
656.2805	-0.19294
656.281	-0.19314
656.2815	-0.19317
656.282	-0.19292
656.2825	-0.19312
656.283	-0.19316
656.2835	-0.19296
656.284	-0.19312
656.2845	-0.19317
656.285	-0.19302
656.2855	-0.19317
656.286	-0.19318
656.2865	-0.19291
656.287	-0.19307
656.2875	-0.19298
